,datasetId,startTime,endTime,value,timestamp,Time (UTC),Air temperature,Precipitation amount,Wind speed,Cloud amount,Relative humidity,Dew-point temperature,Air temperature (Min),Air temperature (Max),Air temperature (Mean),Air temperature (Median),Precipitation amount (Min),Precipitation amount (Max),Precipitation amount (Mean),Precipitation amount (Median),Wind speed (Min),Wind speed (Max),Wind speed (Mean),Wind speed (Median),Cloud amount (Min),Cloud amount (Max),Cloud amount (Mean),Cloud amount (Median),Relative humidity (Min),Relative humidity (Max),Relative humidity (Mean),Relative humidity (Median),Dew-point temperature (Min),Dew-point temperature (Max),Dew-point temperature (Mean),Dew-point temperature (Median),hour,day_of_week,month,is_weekend,lag_1h_consumption,rolling_mean_24h,temp_hour_interaction,price
88,316,2025-04-08T22:00:00.000Z,2025-04-08T23:00:00.000Z,1.212954633128219,2025-04-08 23:00:00,2025-04-08 23:00:00,-0.2828706466022281,0.0161016949152542,0.6464516548220738,6.318181818181818,69.93627450980392,-4.250490196078432,-11.8,5.6,0.8098039215686273,2.1,0.0,0.4,0.0161016949152542,0.0,0.4,21.6,5.375776397515528,4.1,0.0,8.0,6.318181818181818,8.0,40.0,96.0,69.93627450980392,72.0,-13.3,1.9,-4.250490196078432,-3.4,23,1,4,0,81.5,88.27595833333334,18.625490196078427,1.212954633128217
89,316,2025-04-08T23:00:00.000Z,2025-04-09T00:00:00.000Z,1.212954633128219,2025-04-09 00:00:00,2025-04-09 00:00:00,-0.32372443028155284,0.0203389830508474,0.828232469751162,6.281818181818182,70.54901960784314,-4.286764705882353,-11.7,6.0,0.6170731707317073,2.1,0.0,0.4,0.0203389830508474,0.0,0.4,24.1,5.654658385093168,4.7,0.0,8.0,6.281818181818182,8.0,41.0,98.0,70.54901960784314,72.0,-13.7,2.0,-4.286764705882353,-3.0,0,2,4,0,92.5,88.48845833333333,0.0,1.212954633128217
90,316,2025-04-09T00:00:00.000Z,2025-04-09T01:00:00.000Z,1.212954633128219,2025-04-09 01:00:00,2025-04-09 01:00:00,-0.374414041160596,0.0508474576271186,1.1440209678462365,5.836363636363636,71.84803921568627,-4.3122549019607845,-11.0,6.0,0.3779411764705882,1.55,0.0,0.7,0.0508474576271186,0.0,0.4,18.3,6.139130434782609,5.2,0.0,8.0,5.836363636363636,8.0,42.0,100.0,71.84803921568627,72.5,-13.8,2.2,-4.3122549019607845,-2.55,1,2,4,0,92.5,88.70095833333333,0.3779411764705882,1.212954633128217
91,316,2025-04-09T01:00:00.000Z,2025-04-09T02:00:00.000Z,1.212954633128219,2025-04-09 02:00:00,2025-04-09 02:00:00,-0.453696231907514,0.0915254237288135,1.2063689533675717,5.909090909090909,75.18627450980392,-4.080392156862745,-11.0,6.7,0.0039215686274509,1.05,0.0,1.1,0.0915254237288135,0.0,0.7,20.1,6.234782608695652,5.3,0.0,9.0,5.909090909090909,8.0,44.0,100.0,75.18627450980392,78.0,-13.6,2.4,-4.080392156862745,-1.65,2,2,4,0,92.5,88.91345833333332,0.0078431372549018,1.212954633128217
92,316,2025-04-09T02:00:00.000Z,2025-04-09T03:00:00.000Z,1.212954633128219,2025-04-09 03:00:00,2025-04-09 03:00:00,-0.5262882354238686,0.0762711864406779,1.47986760235477,5.390909090909091,76.16666666666667,-4.263235294117648,-10.8,6.3,-0.3385365853658537,0.7,0.0,0.9,0.0762711864406779,0.0,0.5,18.4,6.654375,5.699999999999999,0.0,8.0,5.390909090909091,7.0,44.0,99.0,76.16666666666667,81.0,-13.0,2.7,-4.263235294117648,-2.2,3,2,4,0,92.5,89.12595833333332,-1.015609756097561,1.212954633128217
93,316,2025-04-09T03:00:00.000Z,2025-04-09T04:00:00.000Z,1.212954633128219,2025-04-09 04:00:00,2025-04-09 04:00:00,-0.562602584405608,0.0627118644067796,1.7563083193296376,5.229357798165138,75.34482758620689,-4.622660098522167,-10.7,5.8,-0.5098522167487685,0.3,0.0,0.6,0.0627118644067796,0.0,1.5,20.0,7.078481012658228,6.05,0.0,8.0,5.229357798165138,7.0,42.0,100.0,75.34482758620689,78.0,-13.1,2.8,-4.622660098522167,-4.7,4,2,4,0,92.5,89.29679166666665,-2.039408866995074,1.212954633128217
94,316,2025-04-09T04:00:00.000Z,2025-04-09T05:00:00.000Z,1.212954633128219,2025-04-09 05:00:00,2025-04-09 05:00:00,-0.5279908143243507,0.05,2.1491282438707127,4.745454545454545,72.74019607843137,-4.965196078431372,-10.7,5.6,-0.3465686274509803,0.2,0.0,0.8,0.05,0.0,1.3,18.8,7.681132075471698,7.1,0.0,9.0,4.745454545454545,6.0,39.0,100.0,72.74019607843137,74.0,-13.5,3.2,-4.965196078431372,-6.05,5,2,4,0,92.5,89.39925,-1.7328431372549016,1.212954633128217
95,316,2025-04-09T05:00:00.000Z,2025-04-09T06:00:00.000Z,1.212954633128219,2025-04-09 06:00:00,2025-04-09 06:00:00,-0.48358335970984295,0.0423728813559322,2.6511063928656498,4.416666666666667,68.53694581280789,-5.554679802955665,-10.2,5.6,-0.1370731707317073,-0.2,0.0,1.2,0.0423728813559322,0.0,2.2,20.6,8.45125,7.7,0.0,9.0,4.416666666666667,6.0,34.0,97.0,68.53694581280789,70.0,-14.1,3.2,-5.554679802955665,-7.0,6,2,4,0,92.5,89.50170833333333,-0.8224390243902437,1.212954633128217
96,316,2025-04-09T06:00:00.000Z,2025-04-09T07:00:00.000Z,1.212954633128219,2025-04-09 07:00:00,2025-04-09 07:00:00,-0.45452749996252756,0.0279661016949152,3.1452293602615633,4.651376146788991,62.33990147783251,-6.676847290640395,-10.3,6.5,4.375263151232144e-18,-0.4,0.0,0.6,0.0279661016949152,0.0,3.6,20.5,9.209316770186335,8.6,0.0,8.0,4.651376146788991,6.0,32.0,92.0,62.33990147783251,62.0,-15.1,2.5,-6.676847290640395,-8.3,7,2,4,0,92.5,89.60416666666667,3.062684205862501e-17,1.212954633128217
97,316,2025-04-09T07:00:00.000Z,2025-04-09T08:00:00.000Z,1.212954633128219,2025-04-09 08:00:00,2025-04-09 08:00:00,-0.43868196706238055,0.0145299145299145,3.5195222643003796,4.75,56.76732673267327,-7.838613861386139,-10.8,6.2,0.0747524752475247,-0.1,0.0,0.8,0.0145299145299145,0.0,3.5,19.6,9.783544303797468,9.15,0.0,8.0,4.75,6.0,25.0,92.0,56.76732673267327,54.0,-15.8,0.6,-7.838613861386139,-8.6,8,2,4,0,92.5,89.77499999999999,0.5980198019801976,1.212954633128217
